timestamp,rssi_percent,label
2025-12-29T13:08:27,89,empty
2025-12-29T13:08:27,89,empty
2025-12-29T13:08:28,89,empty
2025-12-29T13:08:29,89,empty
2025-12-29T13:08:29,89,empty
2025-12-29T13:08:30,89,empty
2025-12-29T13:08:31,89,empty
2025-12-29T13:08:31,89,empty
2025-12-29T13:08:32,89,empty
2025-12-29T13:08:32,89,empty
2025-12-29T13:08:33,89,empty
2025-12-29T13:08:34,89,empty
2025-12-29T13:08:34,89,empty
2025-12-29T13:08:35,89,empty
2025-12-29T13:08:36,89,empty
2025-12-29T13:08:36,89,empty
2025-12-29T13:08:37,90,empty
2025-12-29T13:08:38,90,empty
2025-12-29T13:08:38,90,empty
2025-12-29T13:08:39,90,empty
2025-12-29T13:08:40,90,empty
2025-12-29T13:08:40,90,empty
2025-12-29T13:08:41,90,empty
2025-12-29T13:08:41,90,empty
2025-12-29T13:08:42,90,empty
2025-12-29T13:08:43,90,empty
2025-12-29T13:08:43,90,empty
2025-12-29T13:08:44,90,empty
2025-12-29T13:08:45,90,empty
2025-12-29T13:08:45,90,empty
2025-12-29T13:08:46,90,empty
2025-12-29T13:08:47,90,empty
2025-12-29T13:08:47,90,empty
2025-12-29T13:08:48,90,empty
2025-12-29T13:08:48,90,empty
2025-12-29T13:08:49,90,empty
2025-12-29T13:08:50,90,empty
2025-12-29T13:08:50,90,empty
2025-12-29T13:08:51,90,empty
2025-12-29T13:08:52,90,empty
2025-12-29T13:08:52,90,empty
2025-12-29T13:08:53,90,empty
2025-12-29T13:08:54,90,empty
2025-12-29T13:08:54,90,empty
2025-12-29T13:08:55,90,empty
2025-12-29T13:08:56,90,empty
2025-12-29T13:08:56,90,empty
2025-12-29T13:08:57,90,empty
2025-12-29T13:08:57,90,empty
2025-12-29T13:08:58,90,empty
2025-12-29T13:08:59,90,empty
2025-12-29T13:08:59,90,empty
2025-12-29T13:09:00,90,empty
2025-12-29T13:09:01,90,empty
2025-12-29T13:09:01,90,empty
2025-12-29T13:09:02,90,empty
2025-12-29T13:09:03,90,empty
2025-12-29T13:09:03,90,empty
2025-12-29T13:09:04,90,empty
2025-12-29T13:09:05,90,empty
2025-12-29T13:09:05,90,empty
2025-12-29T13:09:06,90,empty
2025-12-29T13:09:06,90,empty
2025-12-29T13:09:07,90,empty
2025-12-29T13:09:08,90,empty
2025-12-29T13:09:08,90,empty
2025-12-29T13:09:09,90,empty
2025-12-29T13:09:10,90,empty
2025-12-29T13:09:10,90,empty
2025-12-29T13:09:11,90,empty
2025-12-29T13:09:12,90,empty
2025-12-29T13:09:12,90,empty
2025-12-29T13:09:13,90,empty
2025-12-29T13:09:13,90,empty
2025-12-29T13:09:14,90,empty
2025-12-29T13:09:15,90,empty
2025-12-29T13:09:15,90,empty
2025-12-29T13:09:16,90,empty
2025-12-29T13:09:17,90,empty
2025-12-29T13:09:17,90,empty
2025-12-29T13:09:18,90,empty
2025-12-29T13:09:19,90,empty
2025-12-29T13:09:19,90,empty
2025-12-29T13:09:20,90,empty
2025-12-29T13:09:21,90,empty
2025-12-29T13:09:21,90,empty
2025-12-29T13:09:22,90,empty
2025-12-29T13:09:22,90,empty
2025-12-29T13:09:23,90,empty
2025-12-29T13:09:24,90,empty
2025-12-29T13:09:24,90,empty
2025-12-29T13:09:25,90,empty
2025-12-29T13:09:26,90,empty
2025-12-29T13:09:26,90,empty
2025-12-29T13:09:27,90,empty
2025-12-29T13:09:28,90,empty
2025-12-29T13:09:28,90,empty
2025-12-29T13:09:29,90,empty
2025-12-29T13:09:30,90,empty
2025-12-29T13:09:30,90,empty
2025-12-29T13:09:31,90,empty
2025-12-29T13:09:31,90,empty
2025-12-29T13:09:32,90,empty
2025-12-29T13:09:33,90,empty
2025-12-29T13:09:33,90,empty
2025-12-29T13:09:34,90,empty
2025-12-29T13:09:35,90,empty
2025-12-29T13:09:35,90,empty
2025-12-29T13:09:36,90,empty
2025-12-29T13:09:37,90,empty
2025-12-29T13:09:37,90,empty
2025-12-29T13:09:38,90,empty
2025-12-29T13:09:39,90,empty
2025-12-29T13:09:39,90,empty
2025-12-29T13:09:40,90,empty
2025-12-29T13:09:40,90,empty
2025-12-29T13:09:41,90,empty
2025-12-29T13:09:42,90,empty
2025-12-29T13:09:42,90,empty
2025-12-29T13:09:43,90,empty
2025-12-29T13:09:44,90,empty
2025-12-29T13:09:44,90,empty
2025-12-29T13:09:45,90,empty
2025-12-29T13:09:46,90,empty
2025-12-29T13:09:46,90,empty
2025-12-29T13:09:47,90,empty
2025-12-29T13:09:47,90,empty
2025-12-29T13:09:48,90,empty
2025-12-29T13:09:49,90,empty
2025-12-29T13:09:49,90,empty
2025-12-29T13:09:50,90,empty
2025-12-29T13:09:51,90,empty
2025-12-29T13:09:51,90,empty
2025-12-29T13:09:52,89,empty
2025-12-29T13:09:53,89,empty
2025-12-29T13:09:53,89,empty
2025-12-29T13:09:54,89,empty
